dif	sp	mType	tel	ax
0.139528537417002	C	C-to-G	22R	A
2.70779307361913	C	C-to-G	PAR1	PAR1
0.552748233657726	C	C-to-T	2R	A
-1.1637589394425	C	C-to-T	4R	A
-0.99315056952823	C	C-to-T	5R	A
-1.62530986412668	C	C-to-T	6L	A
-0.194127215676058	C	C-to-T	6R	A
-0.178968826081945	C	C-to-T	7R	A
-0.652341533072729	C	C-to-T	8L	A
0.697927267172326	C	C-to-T	8R	A
1.1141779945631	C	C-to-T	9R	A
-0.253703549438043	C	C-to-T	10L	A
0.430123373248194	C	C-to-T	10R	A
2.04721584240195	C	C-to-T	11L	A
-1.56676061293071	C	C-to-T	11R	A
-1.25170483698653	C	C-to-T	12L	A
0.618599290271647	C	C-to-T	12R	A
-0.0251748915692679	C	C-to-T	13R	A
0.83871907953852	C	C-to-T	14R	A
1.74573674989016	C	C-to-T	16L	A
0.235359649570959	C	C-to-T	16R	A
-0.545072463798771	C	C-to-T	17L	A
-0.383283319101282	C	C-to-T	18R	A
1.366981966676	C	C-to-T	19L	A
-0.376983945200936	C	C-to-T	19R	A
0.617463699319651	C	C-to-T	21R	A
0.578186446435359	C	C-to-T	22R	A
-1.6328990257919	C	C-to-T	PAR1	PAR1
0.377469027668377	C	CpG-to-TpG	2R	A
-1.49439995270814	C	CpG-to-TpG	4R	A
-0.807692061156825	C	CpG-to-TpG	5R	A
-1.72222153347142	C	CpG-to-TpG	6L	A
-0.1591933683735	C	CpG-to-TpG	6R	A
0.327518744666791	C	CpG-to-TpG	7R	A
-0.665553452848079	C	CpG-to-TpG	8L	A
0.349945069412246	C	CpG-to-TpG	8R	A
1.08081926650232	C	CpG-to-TpG	9R	A
-0.397002521537926	C	CpG-to-TpG	10L	A
0.780943991063994	C	CpG-to-TpG	10R	A
1.76330561977163	C	CpG-to-TpG	11L	A
-1.67663181464618	C	CpG-to-TpG	11R	A
-1.60064013443734	C	CpG-to-TpG	12L	A
0.653324346733026	C	CpG-to-TpG	12R	A
1.0364056062268	C	CpG-to-TpG	13R	A
0.824578258644123	C	CpG-to-TpG	14R	A
1.24493535587624	C	CpG-to-TpG	16L	A
0.500690046925796	C	CpG-to-TpG	16R	A
-0.737690125517406	C	CpG-to-TpG	17L	A
-0.168058564832243	C	CpG-to-TpG	18R	A
0.93084517987439	C	CpG-to-TpG	19L	A
-0.973547561119476	C	CpG-to-TpG	19R	A
1.03995908712143	C	CpG-to-TpG	21R	A
0.555587841111243	C	CpG-to-TpG	22R	A
-1.06369635094985	C	CpG-to-TpG	PAR1	PAR1
-0.513135307245624	C	T-to-A	2R	A
2.61304661092732	C	T-to-A	4R	A
0.462947371979429	C	T-to-A	5R	A
0.914001184464786	C	T-to-A	6L	A
0.421910540079345	C	T-to-A	6R	A
0.0631398185650161	C	T-to-A	7R	A
0.99038502774861	C	T-to-A	8L	A
-0.961885272919307	C	T-to-A	8R	A
-0.754348343342981	C	T-to-A	9R	A
