tel	sp	prop	mType	diff
10L	H	0.0506711231079977	T-to-A	0.0806380640034295
10L	C	0.0551554942237576	T-to-A	0.0755424752894029
10L	G	0.0485176761658638	T-to-A	0.0707074185758505
10L	O	0.0504211121393361	T-to-A	0.0748406951440975
10R	H	0.038591407414453	T-to-A	0.0772757684072404
10R	C	0.041738134891911	T-to-A	0.0712378331179781
10R	G	0.0375137669383505	T-to-A	0.0730275022588521
10R	O	0.0406023897086205	T-to-A	0.0764219518906702
11L	H	0.0298341476074772	T-to-A	0.0759830867064011
11L	C	0.0266196192246388	T-to-A	0.0705341706168519
11L	G	0.0282129763971878	T-to-A	0.0794166963290336
11L	O	0.0276883975956762	T-to-A	0.0785950770760927
11R	H	0.0550723321320313	T-to-A	0.0819669228862653
11R	C	0.0645323132871556	T-to-A	0.0663681227460973
11R	G	0.0525448036239251	T-to-A	0.0707535498729445
11R	O	0.0544625835916737	T-to-A	0.0724126182447234
12L	H	0.0506065202093271	T-to-A	0.0692182954493657
12L	C	0.0517998743877952	T-to-A	0.0625808667242131
12L	G	0.0463147067088722	T-to-A	0.0604850740693075
12L	O	0.049287562127028	T-to-A	0.0636787352339669
12R	H	0.0381102911866605	T-to-A	0.0753089920878723
12R	C	0.0413153696316984	T-to-A	0.0594040453312616
