param	nCall	pType	spAbbr3	POS
0.00211904633073546	9135	θ	HUM (N=29172)	1590001
0.00343988040720114	9591	θ	HUM (N=29172)	1600001
0.0027923900660711	9464	θ	HUM (N=29172)	1610001
0.00267739636623536	9619	θ	HUM (N=29172)	1620001
0.00282699490252314	7026	θ	HUM (N=29172)	1630001
0.00258110040023431	8804	θ	HUM (N=29172)	1640001
0.00286077545939442	9885	θ	HUM (N=29172)	1650001
0.00272527784622412	9450	θ	HUM (N=29172)	1660001
0.00234377953267972	9480	θ	HUM (N=29172)	1670001
0.00278467018526319	9188	θ	HUM (N=29172)	1680001
0.00278366340167463	7861	θ	HUM (N=29172)	1690001
0.00231603320361293	4070	θ	HUM (N=29172)	1700001
0.00243620490026466	9604	θ	HUM (N=29172)	1710001
0.00184391990454715	9859	θ	HUM (N=29172)	1720001
0.00293192653179546	9071	θ	HUM (N=29172)	1730001
0.00148126866465358	10000	θ	HUM (N=29172)	1740001
0.00181792063389303	10000	θ	HUM (N=29172)	1750001
0.00245702896919432	8632	θ	HUM (N=29172)	1760001
0.00264539255346848	9799	θ	HUM (N=29172)	1770001
0.00219183377734739	9830	θ	HUM (N=29172)	1780001
0.00205358380106743	9918	θ	HUM (N=29172)	1790001
0.00191784010327359	9479	θ	HUM (N=29172)	1800001
0.00268083595859461	7723	θ	HUM (N=29172)	1810001
0.0028783743369973	10000	θ	HUM (N=29172)	1820001
0.00211936698825122	9769	θ	HUM (N=29172)	1830001
0.00178581675104286	9897	θ	HUM (N=29172)	1840001
0.00209757590803151	9389	θ	HUM (N=29172)	1850001
0.00210986406891126	9813	θ	HUM (N=29172)	1860001
0.00181792063389303	10000	θ	HUM (N=29172)	1870001
0.00225965780409402	9088	θ	HUM (N=29172)	1880001
0.00251337015608051	9644	θ	HUM (N=29172)	1890001
0.00193781876589951	9555	θ	HUM (N=29172)	1900001
0.00199253610203483	7772	θ	HUM (N=29172)	1910001
0.00181792063389303	10000	θ	HUM (N=29172)	1920001
0.00186841842927895	10000	θ	HUM (N=29172)	1930001
0.00207594287163562	8676	θ	HUM (N=29172)	2210001
0.00177993861741695	8984	θ	HUM (N=29172)	2220001
0.00176742283850711	10000	θ	HUM (N=29172)	2230001
0.00198090325895271	9942	θ	HUM (N=29172)	2240001
0.00160946420041239	9831	θ	HUM (N=29172)	2250001
0.00147248852378154	9831	θ	HUM (N=29172)	2260001
0.00147534911007041	7416	θ	HUM (N=29172)	2270001
0.00176909364917578	7707	θ	HUM (N=29172)	2280001
0.00182058388803782	9708	θ	HUM (N=29172)	2290001
0.00209399103942148	9807	θ	HUM (N=29172)	2300001
0.00206694790731063	9691	θ	HUM (N=29172)	2310001
0.00175059024004514	10000	θ	HUM (N=29172)	2320001
0.00174501986291411	9839	θ	HUM (N=29172)	2330001
0.00184111872988964	9874	θ	HUM (N=29172)	2340001
0.00170315812929195	9982	θ	HUM (N=29172)	2350001
0.00122418897905255	9900	θ	HUM (N=29172)	2360001
0.00196941402005078	10000	θ	HUM (N=29172)	2370001
0.00169971452940747	9309	θ	HUM (N=29172)	2380001
0.0014864021902668	9286	θ	HUM (N=29172)	2390001
0.00138027307388175	10000	θ	HUM (N=29172)	2400001
0.00112353509151516	9888	θ	HUM (N=29172)	2410001
0.00167328772741769	9959	θ	HUM (N=29172)	2420001
