spAbbr	bin	posCM	femaleFreq1	femaleFreq2	maleFreq1	maleFreq2	avgDiff	pval	pvalAdj	sign0.05	sign0.1	bfCorr0.05	bfCorr0.1	diff
PPY	1	1.15448271939273	1396	1412	933	939	0.139066951566952	0.952414794752313	1	ns	ns	0.0025	0.005	-0.00124643874643876
PPY	2	2.30896543878546	916	722	642	450	0.11050061050061	0.144281178078972	1	ns	ns	0.0025	0.005	-0.0286935286935287
PPY	3	3.46344815817818	1443	1545	918	1074	0.123828647925033	0.132027053058828	1	ns	ns	0.0025	0.005	0.0220883534136546
PPY	4	4.61793087757091	1375	1271	928	836	0.109221466364324	0.689193544013169	1	ns	ns	0.0025	0.005	-0.00642479213907776
PPY	5	5.77241359696364	2215	2069	1493	1363	0.136204481792717	0.646017675746699	1	ns	ns	0.0025	0.005	-0.00571895424836599
PPY	6	6.92689631635637	1304	1342	886	878	0.109221466364324	0.538901218483508	1	ns	ns	0.0025	0.005	-0.00944822373393805
PPY	7	8.08137903574909	1205	1261	832	812	0.118410381184104	0.279070350595779	1	ns	ns	0.0025	0.005	-0.0174371451743715
PPY	8	9.23586175514182	1734	1488	1169	979	0.130509000620732	0.675085798646143	1	ns	ns	0.0025	0.005	-0.00605214152700184
PPY	9	10.3903444745346	1398	1338	911	913	0.109831871345029	0.44992575508397	1	ns	ns	0.0025	0.005	0.0115131578947368
PPY	10	11.5448271939273	1442	1510	974	994	0.113482384823848	0.662499790919584	1	ns	ns	0.0025	0.005	-0.00643631436314362
PPY	11	12.69930991332	3061	2861	2031	1917	0.127406281661601	0.821111694177807	1	ns	ns	0.0025	0.005	0.00244849712934825
PPY	12	13.8537926327127	1120	1148	778	734	0.126102292768959	0.219316402925442	1	ns	ns	0.0025	0.005	-0.0207231040564374
PPY	13	15.0082753521055	1151	973	743	673	0.0939265536723164	0.318760748075592	1	ns	ns	0.0025	0.005	0.0171845574387948
PPY	14	16.1627580714982	2121	2109	1404	1416	0.114184397163121	0.789149094859415	1	ns	ns	0.0025	0.005	0.00354609929078015
PPY	15	17.3172407908909	2178	2214	1437	1491	0.125569216757741	0.685024302220651	1	ns	ns	0.0025	0.005	0.00512295081967212
PPY	16	18.4717235102836	830	772	532	536	0.117353308364544	0.323312269941068	1	ns	ns	0.0025	0.005	0.0199750312109863
PPY	17	19.6262062296764	3660	3846	2374	2630	0.133759658939515	0.149156402940169	1	ns	ns	0.0025	0.005	0.013189448441247
PPY	18	20.7806889490691	4417	4439	2876	3028	0.129290876242096	0.168275345848434	1	ns	ns	0.0025	0.005	0.0116305329719964
PPY	19	21.9351716684618	7501	7817	5064	5148	0.116333725029377	0.331569147177617	1	ns	ns	0.0025	0.005	-0.00620185402794099
PPY	20	23.0896543878546	11617	11765	7772	7816	0.125481139337952	0.7407282097896	1	ns	ns	0.0025	0.005	-0.00175348558720384
HUM	1	1.13627376600893	183393	177247	167212	161228	0.0278679406545227	0.626052401903626	1	ns	ns	0.0025	0.005	-0.000588768115941996
HUM	2	2.27254753201785	80279	72377	72881	66145	0.0283085537956929	0.373005166941973	1	ns	ns	0.0025	0.005	0.00165603658925051
